True_Regime,Pattern,F_T,F_S,F_I,True_P,Est_P
R1,Trend+MultiSeason,0.9997283664804717,0.9985404818331901,0.9389883848394786,24,24
R2,Pure_MultiSeason,0.8478285611389427,0.9959033474590058,0.8935483082782283,24,24
R3,Stationary_WN,0.40033958228316113,0.14232007554711412,0.3138698178451026,None,3
R4,PureTrend_Exponential,0.998980394724372,0.35642777137743586,0.3177179103848293,None,24
R1,Trend+MultiSeason,0.999550610437727,0.9991993189299562,0.9519619330566478,12,12
R2,Pure_MultiSeason,0.9026729667691235,0.9989314551187098,0.899805531303897,12,12
R3,Stationary_AR,0.10328730701844047,0.5678908990969227,0.651468961796563,None,62
R4,PureTrend_Break,0.99997944397224,0.9999178726483742,0.16832771372527322,None,250
R1,Trend+MultiSeason,0.9979537364221502,0.9978180562507819,0.8696175888125692,12,12
R2,Pure_MultiSeason,0.9397460850868965,0.9960570029070732,0.938770314976418,12,12
R3,Stationary_AR,0.307195535557681,0.5102989268579101,0.6611961543498681,None,31
R4,PureTrend_Break,0.980106402119415,0.9518940680080188,0.0,None,250
R1,Trend+MultiSeason,0.9993010557200577,0.9979000884230654,0.945539764332139,48,50
R2,Pure_MultiSeason,0.04275554499031631,0.9984862489035707,0.9047401845068074,48,100
R3,Stationary_AR,0.1426559472942175,0.42461788344250795,0.5405674948894015,None,29
R4,PureTrend_RandomWalk,0.9913115947103824,0.8860866224936059,0.7103696123067988,None,167
R1,Trend+MultiSeason,0.9993426415487136,0.9902234794134853,0.9462193899399256,48,50
R2,Pure_MultiSeason,0.9686652835033392,0.9984506923569292,0.9772287970571051,48,50
R3,Stationary_AR,0.3052194085184534,0.4278648474007375,0.5495260882654276,None,29
R4,PureTrend_Break,0.9996389218868419,0.9986467520132666,0.0,None,250
R1,Trend+MultiSeason,0.9999279177106007,0.9984329976297567,0.9446045003038023,24,24
R2,Pure_MultiSeason,0.9682409302633792,0.9985899079660313,0.9757549501629728,24,24
R3,Stationary_AR,0.41573867543024945,0.4239947397407767,0.5399217070772426,None,11
R4,PureTrend_RandomWalk,0.9997196245144105,0.6068230121570729,0.8759607079185835,None,24
R1,Trend+MultiSeason,0.9984833113266872,0.9928546490665136,0.8702105541609882,12,12
R2,Pure_MultiSeason,0.9651696120526567,0.9992375848298102,0.9623930001759188,12,12
R3,Stationary_AR,0.25336363868851397,0.41716550784306206,0.450730275288474,None,15
R4,PureTrend_Exponential,0.9991569669326569,0.44974140549557584,0.37761616790423,None,24
R1,Trend+MultiSeason,0.9989509593240047,0.9820548391155666,0.8776189802649592,24,24
R2,Pure_MultiSeason,0.9657832344325687,0.9988481693075991,0.9735633414424205,24,24
R3,Stationary_AR,0.44556442608049496,0.4381439386516064,0.5667171918105898,None,13
R4,PureTrend_Exponential,0.994691864323544,0.38456951681812346,0.3624420448301906,None,24
R1,Trend+MultiSeason,0.9995311009077846,0.9752080137663259,0.8252800707460157,36,36
R2,Pure_MultiSeason,0.9577218829333043,0.9969993517535409,0.9653094976062432,36,36
R3,Stationary_WN,0.1701219517634608,0.369076815463557,0.37942142559793335,None,13
R4,PureTrend_Exponential,0.9982240960221258,0.3584559836206067,0.29949963651605793,None,24
R1,Trend+MultiSeason,0.999492154366301,0.9930487232808687,0.8781345824690068,48,50
R2,Pure_MultiSeason,0.7055911757589922,0.9670678876423187,0.7988576681513807,48,50
