True_Regime,Pattern,F_T_STL,F_S_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
R1,Composite,0.9925354978063854,0.964531514637499,0.9981908153565556,0.991278778678067,0.7616993332778772,12,12,12.0,24.0,500,0.1258653709490017,4.084227787635469e-05,13.50112573393282,4.103769787628269,1.4179980414413071,,,
R2,Seasonal,0.7158005966756491,0.987284459930183,0.8945735104565723,0.998699261108103,0.8985918015303521,12,12,12.0,24.0,500,0.0,0.0,22.43438602447994,4.6228373808915535,0.86860453366975,,,
R3,Stationary_WN,0.2413097810958842,0.19742283225555368,0.41551264511150965,0.2779529045354173,0.29833422393857256,None,3,,,500,0.0,0.0,0.0,0.0,12.594962146439697,,,
R4,Trending_RandomWalkDrift,0.879060614942555,0.5989390440682235,0.9755981059380417,0.9444731109648148,0.8193517458662964,None,167,,,500,,,0.0,0.0,1.4039516630018956,,,0.20874557506881458
R1,Composite,0.9932853074561281,0.9769179948424495,0.9996074316545905,0.9986440839720732,0.9424887265944151,12,12,12.0,24.0,500,-0.222950630338592,4.987200037341335e-05,21.803271601072993,6.463595403373889,0.7964012018862975,,,
R2,Seasonal,0.7362142528145896,0.9786141388699031,0.9520521090372415,0.998943823068326,0.9514706280776137,12,12,12.0,24.0,500,0.0,0.0,17.8919296120699,5.14397413904484,0.6318905511191177,,,
R3,Stationary_WN,0.06910568952384621,0.22187734586484287,0.07989094507777506,0.32813416334785994,0.31933305988545213,None,14,,,500,0.0,0.0,0.0,0.0,13.67928042266653,,,
R4,Trending_ExponentialGrowth,0.9988464246364244,0.24843018859247556,0.9992785804812132,0.4104128221740465,0.36917420901748654,None,24,,,500,,,0.0,0.0,0.9990376679390717,,,
R1,Composite,0.9988384105864976,0.9734660150233132,0.999717533931667,0.9933421060505433,0.7570141111487653,12,12,12.0,24.0,500,-0.39864925835612486,4.974459746044974e-05,15.71932088179605,3.921038739218704,1.3405917861660614,,,
R2,Seasonal,0.7266806267170963,0.9166280496671928,0.9052182353302979,0.9913564326553707,0.9038851048895814,12,12,12.0,24.0,500,0.0,0.0,11.799417821788762,6.7557426801507745,1.1054054917727416,,,
R3,Stationary_AR,0.2929083454370299,0.338670375591687,0.5037636268227952,0.6118730644246582,0.714145257390036,None,24,,,500,0.0,0.0,0.0,0.0,5.0,0.6494017739781387,,
R4,Trending_ExponentialGrowth,0.99883364794717,0.16495630459349575,0.9992868126496594,0.3517199629896759,0.3835206258521463,None,24,,,500,,,0.0,0.0,0.6785403752710616,,,
R1,Composite,0.9889134808978953,0.8844274411592408,0.9992737000473663,0.9918189751181571,0.9362310328524247,12,12,12.0,24.0,500,-0.17342594574296216,4.3202895105146095e-05,9.206797112006644,6.394230068001104,0.9043135666702395,,,
R2,Seasonal,0.7515243538641377,0.9829353999519752,0.9739846699942679,0.999479487703963,0.9699838292138495,12,12,12.0,24.0,500,0.0,0.0,28.98016187249496,7.649479933143573,0.5532360451559638,,,
R3,Stationary_AR,0.009749089580486925,0.21620746122996148,0.08713986652031125,0.6950635862172867,0.679821161763983,None,125,,,500,0.0,0.0,0.0,0.0,5.0,0.5837709378187126,,
R4,Trending_ExponentialGrowth,0.9950770998324209,0.25614529697831556,0.9967131783193051,0.4002489748295118,0.3287096866114264,None,24,,,500,,,0.0,0.0,1.2212185460475808,,,
R1,Composite,0.9978516043496892,0.9248300291271161,0.9992071203623858,0.9710015666386396,0.6323975418675106,36,36,36.0,72.0,500,-0.2915366661882516,-2.5175604376834107e-05,10.145221600647622,2.775233126114671,1.4603001547243002,,,
R2,Seasonal,0.664156383185655,0.9584206847791251,0.8293307301572815,0.9945718318626405,0.873902493999193,36,36,36.0,72.0,500,0.0,0.0,23.529388684923084,8.348572287162003,1.8482966430829013,,,
R3,Stationary_AR,0.10254644402474378,0.29478431062661026,0.22444825862845696,0.5463264430007362,0.5937316272502963,None,36,,,500,0.0,0.0,0.0,0.0,5.0,0.44577197814724384,,
R4,Trending_RandomWalkDrift,0.9595059629899677,0.5724639948679815,0.9972980917635378,0.9614179136849647,0.9384784230952012,None,125,,,500,,,0.0,0.0,0.8582822564170424,,,-0.13420017769007653
R1,Composite,0.9766327925519194,0.962518851377606,0.9995326694919229,0.9992732890825529,0.98127354699832,12,12,12.0,24.0,500,-0.10550736349656013,-1.4219937044962281e-05,18.864770903144795,7.376915096823838,0.5233433832948132,,,
R2,Seasonal,0.7313127899837024,0.8773531715974431,0.9202927194921625,0.9887276844817156,0.9180243595798916,12,12,12.0,24.0,500,0.0,0.0,12.6448067908429,8.897583800825757,1.37190797520699,,,
