True_Sector,Pattern,F_T_STL,F_S_STL,F_R_STL,F_T_STL_EMD,F_S_STL_EMD,F_I_STL_EMD,True_P,Est_P,rand_p1,rand_p2,length,slope,curve,amp1,amp2,noise_std,phi,break_point,drift
S1,Composite,0.9953894454943086,0.9816955298562814,0.0,0.999031936784097,0.9958843643429753,0.7939885078477493,24,25,24.0,48.0,300,0.3537878096269038,-2.3942700267229158e-05,21.368186922241023,3.146270963931772,1.1501635325176438,,,
S2,Seasonal,0.5034140284151383,0.9766635155872293,0.0,0.6930972126097144,0.9962844538672531,0.8568589920940045,24,25,24.0,48.0,300,0.0,0.0,19.325134822347465,4.027071892591819,1.1026778677441385,,,
S3,Stationary_AR,0.2920722582275316,0.24341817688013911,0.0,0.48013187740828134,0.5580415193609349,0.6965571464976521,None,12,,,300,0.0,0.0,0.0,0.0,5.0,0.5843937038593511,,
S4,Trending_RandomWalkDrift,0.9904793607444081,0.09089139261288681,0.0,0.9986990583874447,0.6628604813312209,0.8683160237952618,None,24,,,300,,,0.0,0.0,0.9631958779654483,,,0.45260008890464765
S1,Composite,0.9823880929956147,0.9124705619673126,0.0,0.9991349375585173,0.9950541849111025,0.9525979354615566,36,38,36.0,72.0,300,-0.3050419419321237,4.674692690311858e-05,15.328448703603307,7.590116015052173,0.9307980528637749,,,
S2,Seasonal,0.4143702490509795,0.9670344409404851,0.0,0.7511847362996914,0.9952067683515237,0.8702445301537607,36,38,36.0,72.0,300,0.0,0.0,25.82725748110318,5.1613096668901814,1.8997452673248205,,,
S3,Stationary_WN,0.034467292465125254,0.27406012653829714,0.0,0.03845929747297416,0.40934526935658244,0.3532532488342962,None,43,,,300,0.0,0.0,0.0,0.0,7.708360376956658,,,
S4,Trending_RandomWalkDrift,0.9479062581429557,0.0,0.0,0.9928225276698357,0.7141726132593498,0.8735623892681342,None,24,,,300,,,0.0,0.0,0.874941146352647,,,-0.18916447153186558
S1,Composite,0.9932429981372319,0.978286004169634,0.0,0.9989400583010198,0.9961494464969123,0.8451219956707615,24,25,24.0,48.0,300,0.31078029003692886,1.8902924451545408e-05,21.561011749285406,2.660921837477761,1.0689958347036714,,,
S2,Seasonal,0.6343081672200271,0.9683652204345745,0.0,0.9593785341710139,0.9991164323192966,0.9748023964297255,24,25,24.0,48.0,300,0.0,0.0,19.855658690392406,5.90230736889257,0.6450994255288405,,,
S3,Stationary_AR,0.138829066405455,0.25449045972431616,0.0,0.29239502830991104,0.41113203081935124,0.5747151740754557,None,14,,,300,0.0,0.0,0.0,0.0,5.0,0.547354960128881,,
S4,Trending_MeanShift,0.9999006646115047,0.9996017230270656,0.0,0.9999242875629321,0.9996976979498984,0.23883507343425436,None,150,,,300,,,0.0,0.0,1.4997744776055288,,150.0,
S1,Composite,0.9987885753938259,0.9811003865953661,0.0,0.999807060003403,0.9967254644956228,0.8409239324652077,24,50,24.0,48.0,300,0.36259154702704055,-4.271923399716062e-05,8.700547827606286,6.054431987921251,0.7146447139897557,,,
S2,Seasonal,0.643179481672832,0.9571911683367059,0.0,0.9602888454974412,0.9987783818283702,0.9746388211974609,24,25,24.0,48.0,300,0.0,0.0,20.925961397577616,7.441600773941261,0.7286643266118553,,,
S3,Stationary_WN,0.1882394072007656,0.2571729981261286,0.0,0.3571842302647177,0.3532493987570958,0.31010389585908027,None,3,,,300,0.0,0.0,0.0,0.0,13.29503274040285,,,
S4,Trending_MeanShift,0.9999250361964931,0.9997031348585991,0.0,0.9999173830165815,0.9996739747058507,0.0,None,150,,,300,,,0.0,0.0,1.4300486636415286,,150.0,
S1,Composite,0.9841121995811809,0.9028375531321916,0.0,0.9976870123644228,0.9847545875035311,0.8597262453407025,48,50,48.0,96.0,300,-0.3223458019856976,-2.9674306935616972e-05,15.186884654179757,6.559785549831491,1.3376609057760556,,,
S2,Seasonal,0.5365451459684089,0.960277011574206,0.0,0.7409051775812231,0.9932714873118246,0.8443563460922315,48,50,48.0,96.0,300,0.0,0.0,24.138582703763703,6.577555391810298,1.7664758621094852,,,
S3,Stationary_WN,0.16217659119933547,0.25187366093583063,0.0,0.3044727662324155,0.35902598336104596,0.362154946805057,None,9,,,300,0.0,0.0,0.0,0.0,12.27541414155747,,,
S4,Trending_RandomWalkDrift,0.9851502915505846,0.832770050102985,0.0,0.0,0.27473727766075395,0.0,None,150,,,300,,,0.0,0.0,0.932978766057497,,,0.10933547313225885
S1,Composite,0.9905698685676358,0.9265574209617823,0.0,0.9983076689939775,0.9844215790476901,0.8223100142256147,36,38,36.0,72.0,300,0.2524241608557021,1.2707374210769458e-05,11.096688738343502,3.5885762781964186,1.2063876345584275,,,
S2,Seasonal,0.658033968865132,0.9062010776531209,0.0,0.9666452523532004,0.9969907422374584,0.9734037115914985,36,38,36.0,72.0,300,0.0,0.0,15.112844597992073,8.26542075008236,0.9203302304160557,,,
S3,Stationary_WN,0.052831489841340784,0.19040522242343472,0.0,0.1313902564543864,0.3518353356162919,0.3323335032266477,None,15,,,300,0.0,0.0,0.0,0.0,12.585888192751806,,,
